Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
DANOY,DANONE S/ADR,OTCQX International Premier,13.030000,-0.153300,307292,ADRs,France,
GPDNF,GROUPE DANONE,OTCQX International Premier,64.480000,,123,Foreign Ordinary Shares,France,
AXAHF,AXA SA ORD,OTCQX International Premier,27.850000,0.143800,1242,Foreign Ordinary Shares,France,
AXAHY,AXA S/ADR,OTCQX International Premier,27.940000,0.975800,44162,ADRs,France,
BNPQF,BNP PARIBAS ORD,OTCQX International Premier,67.424000,0.843600,1058,Foreign Ordinary Shares,France,
BNPQY,BNP PARIBAS SPONS ADR,OTCQX International Premier,33.750000,0.207800,125722,ADRs,France,
PGPEF,PUBLICIS GROUPE ACT,OTCQX International Premier,68.387900,,44,Foreign Ordinary Shares,France,
PUBGY,PUBLICIS GROUP SA S/ADR,OTCQX International Premier,16.830000,-0.590700,50325,ADRs,France,
BASFY,BASF SE S/ADR,OTCQX International Premier,18.240000,-0.292500,163819,ADRs,Germany,
BFFAF,BASF SE ORD,OTCQX International Premier,73.295000,,420,Foreign Ordinary Shares,Germany,
DTEGF,DEUTSCHE TELEKOM AG REG,OTCQX International Premier,19.085000,-1.062700,1050,Foreign Ordinary Shares,Germany,
DTEGY,DEUTSCHE TELEKOM AG S/ADR,OTCQX International Premier,19.140000,-0.674600,129163,ADRs,Germany,
DLAKF,DEUTSCHE LUFTHANSA AG REG,OTCQX International Premier,6.410000,-1.384600,11694,Foreign Ordinary Shares,Germany,
DLAKY,DEUTSCHE LUFTHANSA S/ADR,OTCQX International Premier,6.430000,-2.426400,320404,ADRs,Germany,
ADDDF,ADIDAS AG ORD,OTCQX International Premier,324.400000,0.179100,911,Foreign Ordinary Shares,Germany,
ADDYY,ADIDAS AG S/ADR,OTCQX International Premier,161.620000,0.585000,33984,ADRs,Germany,
IFNNF,INFINEON TECHS AG,OTCQX International Premier,45.070000,2.688500,691,Foreign Ordinary Shares,Germany,
IFNNY,INFINEON TECHS AG S/ADR,OTCQX International Premier,44.990000,1.603400,94965,ADRs,Germany,
BOSSY,HUGO BOSS AG S/ADR,OTCQX International Premier,12.320000,,31,ADRs,Germany,
